iter	Passed	Remaining
0	170	170413
1	173	86671
2	176	58655
3	179	44668
4	182	36287
5	185	30697
6	188	26693
7	191	23708
8	194	21373
9	197	19510
10	200	17981
11	203	16716
12	205	15633
13	208	14691
14	211	13897
15	214	13190
16	217	12564
17	220	12012
18	223	11520
19	225	11069
20	228	10666
21	231	10299
22	234	9960
23	237	9650
24	240	9369
25	243	9117
26	246	8877
27	249	8649
28	252	8438
29	255	8247
30	258	8064
31	260	7891
32	263	7732
33	267	7587
34	269	7440
35	272	7302
36	275	7173
37	278	7050
38	281	6927
39	283	6811
40	286	6700
41	289	6601
42	292	6503
43	294	6407
44	297	6315
45	300	6228
46	303	6146
47	305	6063
48	308	5992
49	311	5918
50	314	5848
51	317	5783
52	320	5722
53	323	5659
54	325	5598
55	328	5539
56	331	5483
57	334	5428
58	337	5375
59	339	5323
60	342	5272
61	345	5221
62	348	5177
63	350	5129
64	353	5084
65	356	5042
66	359	5000
67	361	4960
68	364	4919
69	367	4878
70	369	4838
71	372	4802
72	375	4766
73	378	4732
74	380	4695
75	383	4662
76	386	4628
77	388	4594
78	391	4561
79	393	4527
80	396	4497
81	399	4468
82	400	4425
83	403	4396
84	405	4368
85	408	4341
86	410	4313
87	413	4287
88	416	4262
89	419	4237
90	421	4212
91	424	4188
92	426	4163
93	429	4139
94	432	4119
95	435	4097
96	437	4076
97	440	4052
98	443	4032
99	445	4012
100	448	3991
101	451	3971
102	453	3950
103	456	3930
104	458	3911
105	461	3892
106	464	3872
107	466	3853
108	469	3836
109	472	3820
110	474	3802
111	477	3783
112	479	3766
113	482	3749
114	485	3733
115	487	3717
116	489	3693
117	491	3673
118	493	3653
119	495	3633
120	497	3616
121	499	3593
122	501	3577
123	503	3558
124	505	3539
125	507	3521
126	509	3500
127	511	3483
128	513	3468
129	515	3452
130	517	3436
131	520	3419
132	522	3403
133	523	3385
134	526	3373
135	529	3361
136	531	3349
137	534	3337
138	536	3324
139	539	3313
140	542	3302
141	543	3285
142	546	3273
143	549	3263
144	551	3251
145	554	3240
146	556	3229
147	559	3219
148	562	3210
149	564	3199
150	567	3188
151	569	3177
152	571	3164
153	573	3151
154	575	3138
155	577	3125
156	579	3112
157	582	3102
158	584	3092
159	587	3083
160	589	3069
161	591	3059
162	593	3049
163	596	3041
164	599	3032
165	601	3022
166	604	3014
167	606	3005
168	609	2996
169	611	2987
170	614	2978
171	617	2970
172	619	2961
173	622	2953
174	624	2944
175	627	2936
176	629	2927
177	632	2919
178	634	2910
179	637	2902
180	640	2896
181	642	2888
182	645	2881
183	647	2873
184	650	2865
185	652	2857
186	655	2849
187	657	2841
188	660	2833
189	662	2825
190	665	2818
191	668	2811
192	670	2804
193	672	2796
194	675	2788
195	677	2779
196	679	2769
197	681	2760
198	683	2751
199	685	2741
200	687	2732
201	689	2722
202	691	2714
203	693	2705
204	695	2696
205	697	2687
206	699	2679
207	702	2673
208	704	2666
209	706	2659
210	709	2652
211	711	2645
212	714	2638
213	717	2634
214	719	2627
215	721	2619
216	723	2612
217	726	2604
218	728	2597
219	730	2589
220	732	2581
221	734	2573
222	736	2564
223	737	2556
224	739	2546
225	741	2538
226	742	2529
227	744	2520
228	745	2511
229	747	2502
230	749	2494
231	751	2487
232	753	2479
233	754	2471
234	756	2462
235	757	2453
236	759	2445
237	761	2437
238	763	2430
239	765	2423
240	767	2416
241	769	2409
242	771	2401
243	772	2394
244	774	2386
245	776	2379
246	777	2371
247	779	2363
248	781	2356
249	782	2348
250	784	2340
251	785	2332
252	787	2325
253	789	2317
254	790	2310
255	792	2303
256	794	2296
257	796	2290
258	798	2283
259	800	2277
260	802	2270
261	803	2264
262	805	2257
263	807	2251
264	809	2244
265	810	2236
266	812	2229
267	813	2222
268	815	2214
269	816	2207
270	818	2200
271	819	2193
272	821	2186
273	822	2179
274	824	2173
275	825	2166
276	827	2159
277	828	2152
278	830	2145
279	831	2139
280	833	2132
281	835	2126
282	836	2119
283	838	2113
284	839	2106
285	841	2100
286	842	2093
287	844	2086
288	845	2080
289	847	2073
290	848	2067
291	849	2060
292	851	2054
293	853	2049
294	855	2043
295	857	2038
296	859	2033
297	861	2028
298	862	2023
299	864	2017
300	866	2012
301	868	2007
302	870	2002
303	872	1997
304	874	1992
305	876	1987
306	878	1982
307	879	1977
308	881	1972
309	883	1967
310	885	1961
311	886	1955
312	888	1949
313	889	1943
314	891	1938
315	892	1932
316	894	1927
317	896	1921
318	897	1916
319	899	1910
320	900	1904
321	901	1899
322	903	1894
323	905	1888
324	906	1883
325	908	1878
326	910	1873
327	911	1867
328	913	1862
329	914	1857
330	916	1852
331	918	1847
332	919	1842
333	921	1837
334	922	1831
335	924	1826
336	926	1821
337	927	1816
338	929	1812
339	930	1807
340	932	1802
341	934	1797
342	935	1792
343	937	1786
344	938	1781
345	939	1776
346	941	1770
347	942	1765
348	943	1759
349	944	1754
350	945	1748
351	946	1742
352	948	1737
353	949	1732
354	950	1726
355	951	1721
356	953	1717
357	954	1712
358	956	1707
359	957	1701
360	958	1696
361	959	1691
362	961	1686
363	962	1681
364	963	1676
365	965	1672
366	966	1667
367	968	1662
368	969	1657
369	970	1652
370	972	1647
371	973	1643
372	974	1638
373	975	1633
374	977	1628
375	978	1623
376	979	1619
377	981	1614
378	982	1610
379	984	1605
380	985	1600
381	986	1596
382	987	1591
383	989	1586
384	990	1582
385	991	1577
386	993	1573
387	994	1568
388	995	1564
389	997	1560
390	998	1555
391	1000	1551
392	1001	1546
393	1002	1542
394	1003	1537
395	1005	1533
396	1006	1528
397	1007	1524
398	1008	1519
399	1010	1515
400	1011	1511
401	1013	1507
402	1014	1502
403	1015	1498
404	1017	1494
405	1018	1489
